urlkey,dayrow,timestamp,date,month,original,mimetype,statuscode,digest,length,key,fulllink,linkfull,Response,VariableCount,TheColumns
"info,worldometers)/coronavirus",1,2.02E+13,20200224,202002,https://www.worldometers.info/coronavirus/,text/html,200,DCDOP3C4SWBXJM3CLXTVMJJR7FE6SS4K,37140,2.02E+13,https://web.archive.org/web/20200224001310/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200224001310/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200225,202002,https://www.worldometers.info/coronavirus/,text/html,200,WIGPZSAHBVSJHMDS5ME7PYSVEE3HT4NJ,39530,2.02E+13,https://web.archive.org/web/20200225001906/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200225001906/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200226,202002,https://www.worldometers.info/coronavirus/,text/html,200,LY7RQFNLP77DEQYMLNRQJIUABKOON6AO,40331,2.02E+13,https://web.archive.org/web/20200226003111/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200226003111/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200227,202002,https://www.worldometers.info/coronavirus/,text/html,200,G5UX5PA5NVJFELVKMJVX5QN45YAJ52IT,45865,2.02E+13,https://web.archive.org/web/20200227000139/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200227000139/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200228,202002,https://www.worldometers.info/coronavirus/,text/html,200,TLDZKEH2IU2EVAFWSCOBREYB76IMPUZS,50195,2.02E+13,https://web.archive.org/web/20200228000052/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200228000052/https://www.worldometers.info/coronavirus/,200,8,"['Country, Other', 'Total Cases', 'New Cases', 'Total Deaths', 'NewDeaths', 'Total Recovered', 'Serious,  Critical', 'Region']"
"info,worldometers)/coronavirus",1,2.02E+13,20200229,202002,https://www.worldometers.info/coronavirus/,text/html,200,PD4H77WE6DK6H25ZSLKEH27LJHK7QZRG,55533,2.02E+13,https://web.archive.org/web/20200229002628/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200229002628/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200301,202003,https://www.worldometers.info/coronavirus/,text/html,200,WSUBFDQSPNP2AQW3XTRVF3JCFPYBY7ET,59838,2.02E+13,https://web.archive.org/web/20200301001656/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200301001656/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200302,202003,https://www.worldometers.info/coronavirus/,text/html,200,MPDWABRBFQ3OFX3VZRBNQKE5FJISB2GP,64170,2.02E+13,https://web.archive.org/web/20200302000357/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200302000357/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200303,202003,https://www.worldometers.info/coronavirus/,text/html,200,JXVJJ5AXC653HVHK2K54QZF4QSO7WRO3,70099,2.02E+13,https://web.archive.org/web/20200303000625/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200303000625/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
"info,worldometers)/coronavirus",1,2.02E+13,20200304,202003,https://www.worldometers.info/coronavirus/,text/html,200,GI7GNQEMWV74UVCC2RE3Z2ODM6WFLEVW,75405,2.02E+13,https://web.archive.org/web/20200304001941/https://www.worldometers.info/coronavirus/,https://web.archive.org/web/20200304001941/https://www.worldometers.info/coronavirus/,200,8,"['Country,Other', 'TotalCases', 'NewCases', 'TotalDeaths', 'NewDeaths', 'ActiveCases', 'TotalRecovered', 'Serious,Critical']"
